Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Trident Hotel Cochin,4.4,kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,7246.0
The Gateway Hotel Marine Drive Ernakulam,4.3,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,9440.0
Ramada by Wyndham Kochi,4.5,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,8964.0
The Renai cochin,4.2,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,2768.0
SpringField Billets Hotel,4.2,kochi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Kitchen,Airport shuttle,Full-service laundry,Business center,Kid-friendly,1340.0
Grand Hyatt Kochi Bolgatty,4.7,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,14316.0
Boche Island - Kumbalangi,4.1,kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Spa,Restaurant,5827.0
Cherai Beach Resorts,3.9,kochi,3-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Beach access,3281.0
Keys Select Kochi by Lemon Tree Hotels,4.0,kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Fitness center,Restaurant,Room service,Full-service laundry,4017.0
Crowne Plaza Kochi,4.6,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,7295.0
"Nihara Resort & Spa, Kadamakudy Island, Kochi",4.3,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Spa,Restaurant,Room service,4692.0
Ayurjani Ayurvedics,4.2,kochi,Sleeps 4,2 bedrooms,Air conditioning,Fireplace,Paid parking,No crib,No elevator,No fitness center,No ironing board,896.0
Radisson Blu Kochi,4.3,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,6614.0
Le Méridien Kochi,4.4,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,8176.0
The OneTree Beach Resort,4.0,kochi,Free breakfast,Free Wi-Fi,Paid parking,Beach access,Kitchen,Full-service laundry,0,0,0,3884.0
Hotel South Gate Residency,3.9,kochi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly,1219.0
Hotel Cochin Palace,4.1,kochi,4-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Bar,Restaurant,Room service,Airport shuttle,2663.0
The Luminara A Unit of Elite Tourist Home,4.3,kochi,Free breakfast,Free parking,Pool,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,Full-service laundry,2354.0
Niyati Boutique Stay,4.2,kochi,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Kitchen,Airport shuttle,Full-service laundry,2925.0
Kochi Riverside Homestay,4.8,kochi,Sleeps 5,2 bedrooms,Air conditioning,Fireplace,Cable TV,Paid parking,Free Wi-Fi,No crib,No elevator,2719.0
Bolgatty Palace and Island Resort,4.3,kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,5173.0
The Renai cochin,4.2,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,2768.0
Ariya Nivaas - A Vegetarian Hotel,4.2,trivandrum,2-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Full-service laundry,Accessible,Kid-friendly,2520.0
