Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price
Crowne Plaza Kochi,4.6,kochi,5-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹8,854"
Trident Hotel Cochin,4.5,kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹6,441"
The Galaxy Suites,3.8,kochi,Apartment,Sleeps 10,Free parking,Free Wi-Fi,No air conditioning,No airport shuttle,No beach access,No elevator,No fireplace,₹831
The Renai cochin,4.2,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹2,768"
Ramada by Wyndham Kochi,4.5,kochi,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹8,938"
The Renai cochin,4.2,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Bar,"₹2,768"
"Radisson Blu Hotel, Kochi",4.3,kochi,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Hot tub,Air conditioning,Fitness center,Spa,"₹6,061"
"Holiday Inn Cochin, an IHG Hotel",4.4,kochi,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Bar,Restaurant,"₹5,689"
OAK FIELD INN,3.8,kochi,Free breakfast,Wi-Fi,Free parking,Air conditioning,Restaurant,Kitchen in some rooms,Full-service laundry,Kid-friendly,NA,₹819
Grand Hyatt Kochi Bolgatty,4.7,kochi,5-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Pools,Hot tub,Air conditioning,Fitness center,Spa,"₹14,282"
Hotel South Gate Residency,3.9,kochi,3-star hotel,Breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Airport shuttle,Full-service laundry,Kid-friendly,"₹1,051"
Cherai Beach Resorts,3.9,kochi,3-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Beach access,"₹3,281"
North Centre Hotel,4.7,kochi,3-star hotel,Breakfast ($),Free Wi-Fi,Free parking,Air conditioning,Airport shuttle,Full-service laundry,Kid-friendly,Smoke-free property,"₹1,118"
Boche Island - Kumbalangi,4.1,kochi,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Pet-friendly,Spa,Restaurant,"₹5,855"
Trident Hotel Cochin,4.5,kochi,5-star hotel,Free breakfast,Wi-Fi,Free parking,Outdoor pool,Air conditioning,Fitness center,Spa,Restaurant,"₹5,406"
"Nihara Resort & Spa, Kadamakudy Island, Kochi",4.3,kochi,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Outdoor pool,Air conditioning,Spa,Restaurant,Room service,"₹4,692"
